iter	Passed	Remaining
0	5	5200
1	11	5784
2	15	4992
3	19	4798
4	23	4603
5	26	4416
6	29	4251
7	36	4510
8	40	4416
9	44	4358
10	50	4535
11	54	4486
12	58	4461
13	64	4548
14	70	4603
15	76	4675
16	83	4837
17	89	4909
18	102	5311
19	122	5990
20	127	5963
21	133	5946
22	139	5938
23	146	5945
24	158	6183
25	162	6092
26	166	6007
27	170	5932
28	174	5837
29	178	5786
30	186	5835
31	194	5891
32	201	5892
33	206	5871
34	211	5828
35	215	5762
36	219	5725
37	226	5736
38	230	5671
39	234	5621
40	237	5556
41	240	5490
42	243	5415
43	246	5364
44	249	5305
45	252	5239
46	255	5186
47	258	5125
48	261	5073
49	264	5020
50	266	4967
51	270	4924
52	273	4881
53	276	4847
54	280	4813
55	284	4789
56	287	4758
57	290	4723
58	293	4683
59	296	4644
60	299	4604
61	301	4567
62	304	4530
63	307	4494
64	310	4462
65	312	4429
66	315	4399
67	318	4371
68	321	4339
69	324	4310
70	327	4280
71	329	4251
72	332	4223
73	335	4198
74	338	4172
75	341	4149
76	344	4124
77	347	4102
78	349	4077
79	352	4055
80	355	4038
81	358	4014
82	361	3991
83	364	3969
84	367	3954
85	370	3940
86	373	3923
87	378	3919
88	381	3906
89	385	3899
90	389	3886
91	393	3882
92	397	3876
93	400	3858
94	403	3841
95	406	3826
96	409	3807
97	412	3792
98	414	3775
99	417	3757
100	420	3739
101	422	3722
102	425	3705
103	428	3688
104	430	3671
105	433	3658
106	436	3643
107	439	3629
108	442	3613
109	445	3600
110	447	3587
111	450	3573
112	453	3558
113	455	3543
114	459	3532
115	461	3519
116	465	3509
117	468	3499
118	470	3486
119	473	3474
120	476	3460
121	479	3449
122	482	3443
123	486	3435
124	489	3426
125	494	3431
126	498	3424
127	501	3415
128	504	3409
129	510	3413
130	513	3406
131	516	3397
132	520	3390
133	524	3387
134	527	3381
135	530	3372
136	535	3372
137	540	3374
138	544	3370
139	548	3372
140	554	3377
141	559	3380
142	566	3396
143	573	3409
144	580	3422
145	590	3452
146	597	3465
147	604	3477
148	609	3483
149	620	3513
150	623	3504
151	628	3504
152	633	3507
153	638	3508
154	644	3513
155	647	3505
156	651	3497
157	654	3486
158	657	3475
159	661	3472
160	664	3461
161	667	3451
162	670	3443
163	674	3436
164	677	3428
165	680	3417
166	683	3409
167	686	3398
168	689	3392
169	693	3383
170	697	3379
171	700	3370
172	703	3360
173	711	3379
174	715	3371
175	719	3367
176	725	3371
177	732	3382
178	749	3438
179	778	3544
180	799	3618
181	807	3630
182	813	3630
183	816	3620
184	819	3610
185	823	3602
186	827	3598
187	830	3589
188	834	3579
189	837	3571
190	842	3566
191	845	3557
192	847	3545
193	849	3531
194	854	3526
195	859	3524
196	862	3515
197	865	3505
198	873	3514
199	876	3507
200	880	3498
201	884	3495
202	897	3522
203	899	3511
204	906	3515
205	910	3510
206	913	3500
207	918	3496
208	921	3489
209	928	3493
210	933	3491
211	939	3492
212	943	3484
213	946	3476
214	953	3480
215	959	3482
216	964	3478
217	967	3471
218	972	3466
219	975	3459
220	979	3453
221	984	3449
222	988	3444
223	992	3438
224	996	3432
225	1000	3427
226	1003	3416
227	1006	3408
228	1009	3399
229	1012	3390
230	1016	3382
231	1020	3376
232	1024	3371
233	1027	3364
234	1031	3356
235	1034	3347
236	1037	3341
237	1041	3335
238	1045	3329
239	1049	3321
240	1052	3313
241	1055	3306
242	1059	3299
243	1062	3290
244	1065	3282
245	1068	3274
246	1071	3267
247	1075	3260
248	1078	3253
249	1081	3244
250	1084	3235
251	1086	3226
252	1089	3217
253	1092	3208
254	1094	3198
255	1097	3189
256	1100	3181
257	1103	3172
258	1105	3163
259	1108	3156
